devuelto cpu: 52.2, ram: 71.7
devuelto cpu: 36.0, ram: 71.2
devuelto cpu: 35.1, ram: 70.9
devuelto cpu: 27.1, ram: 70.8
devuelto cpu: 30.5, ram: 71.3
devuelto cpu: 29.8, ram: 71.3
devuelto cpu: 23.1, ram: 71.1
devuelto cpu: 25.4, ram: 70.5
devuelto cpu: 25.4, ram: 70.5
devuelto cpu: 25.1, ram: 70.5
devuelto cpu: 22.9, ram: 70.5
devuelto cpu: 25.0, ram: 70.5
devuelto cpu: 24.9, ram: 70.4
devuelto cpu: 24.2, ram: 70.4
devuelto cpu: 24.2, ram: 70.2
devuelto cpu: 22.6, ram: 70.1
devuelto cpu: 23.2, ram: 70.0
devuelto cpu: 25.0, ram: 69.9
devuelto cpu: 23.7, ram: 70.0
devuelto cpu: 22.6, ram: 70.0
devuelto cpu: 24.0, ram: 70.0
devuelto cpu: 25.8, ram: 70.1
devuelto cpu: 24.1, ram: 69.9
devuelto cpu: 24.0, ram: 69.8
devuelto cpu: 23.1, ram: 69.8
devuelto cpu: 23.6, ram: 69.8
devuelto cpu: 25.1, ram: 69.8
devuelto cpu: 23.7, ram: 69.8
devuelto cpu: 24.8, ram: 69.8
devuelto cpu: 23.3, ram: 69.8
devuelto cpu: 24.1, ram: 69.7
devuelto cpu: 25.4, ram: 69.7
devuelto cpu: 24.1, ram: 69.7
devuelto cpu: 23.2, ram: 69.7
devuelto cpu: 24.6, ram: 69.6
devuelto cpu: 25.1, ram: 69.6
devuelto cpu: 25.3, ram: 69.9
devuelto cpu: 26.0, ram: 70.1
devuelto cpu: 24.8, ram: 70.2
devuelto cpu: 24.7, ram: 70.2
devuelto cpu: 22.7, ram: 70.2
devuelto cpu: 25.7, ram: 69.7
devuelto cpu: 22.6, ram: 69.7
devuelto cpu: 23.9, ram: 69.7
devuelto cpu: 26.1, ram: 69.7
devuelto cpu: 30.1, ram: 69.7
devuelto cpu: 29.5, ram: 70.1
devuelto cpu: 28.5, ram: 70.2
devuelto cpu: 23.6, ram: 70.1
devuelto cpu: 30.7, ram: 69.4
devuelto cpu: 31.9, ram: 69.3
devuelto cpu: 31.6, ram: 69.3
devuelto cpu: 29.6, ram: 69.4
devuelto cpu: 30.9, ram: 69.4
devuelto cpu: 30.6, ram: 69.4
devuelto cpu: 30.0, ram: 69.4
devuelto cpu: 29.0, ram: 69.4
devuelto cpu: 29.0, ram: 69.4
devuelto cpu: 26.1, ram: 69.4
devuelto cpu: 29.0, ram: 69.4
devuelto cpu: 29.0, ram: 69.3
devuelto cpu: 29.0, ram: 69.3
devuelto cpu: 24.4, ram: 69.4
devuelto cpu: 30.5, ram: 69.5
devuelto cpu: 31.4, ram: 69.4
devuelto cpu: 35.6, ram: 69.6
devuelto cpu: 35.7, ram: 69.6
